competition_name,average_squad_size,average_avg_player_age,average_avg_markt_val_of_player_in_mil_£,average_markt_val_of_club_in_mil_£,average_markt_val_top_18_players_in_mil_£
Bundesliga,30,25.1,9.54,275.46,254.46
"Serie A",28,27.2,9.56,262.00,242.38
Championship,28,26.8,4.00,116.33,107.33
Eredivisie,27,24.8,7.00,181.67,169.33
"Premier League",26,26.9,15.80,408.65,378.15
"Ligue 1",29,24.8,8.70,264.60,242.70
LaLiga,26,27.4,12.08,309.69,287.62
"Turkish Super Lig",32,26.7,3.67,109.00,97.33
"Liga Profesional",29,27.9,3.00,100.00,93.00
"Jupiler Pro League",28,23.8,5.00,135.50,124.50
"Brasileiro Serie A",31,27.4,3.67,117.33,102.00
"Premier Liga",26,26.2,4.83,124.00,116.00
"Liga Bwin",27,26.2,7.25,194.25,175.00
"Prva HNL",30,26.1,3.00,99.00,89.00
"Super League 1",32,26.5,3.00,102.00,88.00
Premiership,29,27.7,3.00,95.00,89.00
